category,index
Nouns,5
Adjectives,18
Verbs,16
Adjectives,20
Nouns,13
Verbs,18
Adjectives,16
Verbs,6
Nouns,15
Verbs,11
Nouns,17
Adjectives,5
Nouns,7
Adjectives,11
Nouns,12
Verbs,18
Adjectives,10
Verbs,3
Nouns,3
Verbs,13
Nouns,16
Adjectives,12
Nouns,9
Verbs,7
Nouns,18
Verbs,20
Adjectives,15
Nouns,4
Verbs,1
Adjectives,12
Verbs,8
Nouns,17
Verbs,19
Adjectives,17
Verbs,11
Nouns,1
Adjectives,16
Nouns,5
Adjectives,19
Nouns,2
Adjectives,13
Nouns,15
Verbs,7
Nouns,13
Adjectives,13
Verbs,14
Adjectives,1
Verbs,8
Nouns,10
Adjectives,17
Verbs,4
Nouns,5
Adjectives,8
Verbs,10
Adjectives,6
Nouns,13
Adjectives,3
Nouns,1
Verbs,16
Adjectives,15
