category,index,minimumSwitches
Verbs,7,0
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
Adjectives,18,1
Verbs,4,1
Nouns,18,1
Verbs,20,1
Nouns,9,1
Adjectives,16,2
Nouns,6,2
Adjectives,7,2
Verbs,7,1
Nouns,7,1
Verbs,6,1
Adjectives,18,1
Nouns,15,2
Adjectives,13,2
Verbs,14,1
Nouns,12,1
Verbs,4,1
Adjectives,17,1
Verbs,3,1
Nouns,7,1
Verbs,4,1
Adjectives,7,1
Nouns,9,2
Verbs,7,1
Nouns,6,1
Adjectives,3,2
Verbs,17,1
Adjectives,10,1
Nouns,4,2
Verbs,3,1
